date,open,high,low,close,adj_close,volume,turnover
,9983.T,9983.T,9983.T,9983.T,9983.T,9983.T,
2015-01-05,14526.6669921875,14806.6669921875,14431.6669921875,14688.3330078125,13317.169921875,1635000,24015424467.773438
2015-01-06,14455.0,14581.6669921875,14370.0,14418.3330078125,13072.375,2533800,36533172175.19531
2015-01-07,14335.0,14503.3330078125,14335.0,14475.0,13123.7548828125,2181000,31569975000.0
2015-01-08,14550.0,14850.0,14466.6669921875,14801.6669921875,13419.927734375,1833900,27144777096.972656
2015-01-09,15266.6669921875,15441.6669921875,14783.3330078125,14920.0,13527.2138671875,4806300,71709996000.0
2015-01-13,14686.6669921875,14765.0,14416.6669921875,14525.0,13169.087890625,2814900,40886422500.0
2015-01-14,14360.0,14436.6669921875,13953.3330078125,13980.0,12674.9619140625,2994900,41868702000.0
2015-01-15,14090.0,14315.0,13990.0,14315.0,12978.6904296875,2271300,32513659500.0
2015-01-16,13900.0,13998.3330078125,13536.6669921875,13790.0,12502.7001953125,3753900,51766281000.0
2015-01-19,13950.0,13966.6669921875,13736.6669921875,13843.3330078125,12551.052734375,1732800,23987727435.9375
2015-01-20,13850.0,14233.3330078125,13818.3330078125,14233.3330078125,12904.646484375,1528200,21751379502.539062
2015-01-21,14266.6669921875,14363.3330078125,14086.6669921875,14128.3330078125,12809.447265625,1698900,24002624946.972656
2015-01-22,14166.6669921875,14176.6669921875,13933.3330078125,14090.0,12774.693359375,1587900,22373511000.0
2015-01-23,14323.3330078125,14365.0,14161.6669921875,14215.0,12888.0234375,1069800,15207207000.0
2015-01-26,13981.6669921875,14193.3330078125,13966.6669921875,14113.3330078125,12795.849609375,1152600,16267027624.804688
2015-01-27,14290.0,14460.0,14223.3330078125,14386.6669921875,13043.666015625,1413600,20336992460.15625
2015-01-28,14281.6669921875,14621.6669921875,14240.0,14533.3330078125,13176.6396484375,1746900,25388279431.347656
2015-01-29,14388.3330078125,14740.0,14366.6669921875,14558.3330078125,13199.30859375,1944900,28314501866.89453
2015-01-30,14766.6669921875,14800.0,14573.3330078125,14673.3330078125,13303.5732421875,1732500,25421549436.035156
2015-02-02,14466.6669921875,14580.0,14335.0,14351.6669921875,13011.9345703125,1292100,18543788920.60547
2015-02-03,14415.0,14450.0,14018.3330078125,14061.6669921875,12749.0048828125,1552800,21834956505.46875
2015-02-04,14366.6669921875,14630.0,14310.0,14616.6669921875,13252.1962890625,1910400,27923680621.875
2015-02-05,14520.0,14640.0,14475.0,14491.6669921875,13138.86328125,1432200,20754965466.210938
2015-02-06,14725.0,14756.6669921875,14605.0,14668.3330078125,13299.0390625,1062900,15590971154.003906
2015-02-09,14811.6669921875,14815.0,14633.3330078125,14645.0,13277.8837890625,1086600,15913257000.0
2015-02-10,14538.3330078125,14563.3330078125,14411.6669921875,14478.3330078125,13126.775390625,1370100,19836764054.003906
2015-02-12,14750.0,14780.0,14623.3330078125,14768.3330078125,13389.7021484375,1515300,22378455006.73828
2015-02-13,14646.6669921875,14750.0,14616.6669921875,14668.3330078125,13299.0390625,2046000,30011409333.984375
2015-02-16,14705.0,14765.0,14666.6669921875,14688.3330078125,13317.169921875,890100,13074085210.253906
2015-02-17,14616.6669921875,14680.0,14466.6669921875,14501.6669921875,13147.9296875,1001100,14517618825.878906
2015-02-18,14501.6669921875,14580.0,14441.6669921875,14568.3330078125,13208.375,1562400,22761563491.40625
2015-02-19,14593.3330078125,14656.6669921875,14345.0,14355.0,13014.953125,1689600,24254208000.0
2015-02-20,14406.6669921875,14448.3330078125,14270.0,14303.3330078125,12968.111328125,1334100,19082076565.722656
2015-02-23,14515.0,14818.3330078125,14423.3330078125,14785.0,13404.814453125,2402700,35523919500.0
2015-02-24,14833.3330078125,15100.0,14813.3330078125,15100.0,13690.408203125,2185800,33005580000.0
2015-02-25,15000.0,15065.0,14908.3330078125,14968.3330078125,13623.6630859375,1512600,22641100507.617188
2015-02-26,15010.0,15350.0,14980.0,15330.0,13952.841796875,1747500,26789175000.0
2015-02-27,15383.3330078125,15555.0,15333.3330078125,15443.3330078125,14055.9931640625,1676400,25889203454.296875
2015-03-02,15508.3330078125,15663.3330078125,15433.3330078125,15616.6669921875,14213.7548828125,1487700,23232915484.277344
2015-03-03,15666.6669921875,15678.3330078125,15333.3330078125,15346.6669921875,13968.009765625,1433400,21997912466.601562
2015-03-04,15303.3330078125,15471.6669921875,15256.6669921875,15388.3330078125,14005.9345703125,1091700,16799443144.628906
2015-03-05,15336.6669921875,15428.3330078125,15230.0,15230.0,13861.826171875,1037700,15804171000.0
