trading_date,daily_return,daily_return_alpha,daily_return_hedge,equity,drawdown
2016-01-22,-0.0016362948793561447,-0.0016362948793561447,0.0,0.9983637051206439,0.0
2016-01-25,-0.018799366696647207,-0.018799366696647207,0.0,0.9795950997314575,-0.01879936669664717
2016-01-26,0.008591213986218062,0.008591213986218062,0.0,0.9880110108531012,-0.010369662092525322
2016-01-27,0.009393156535629011,0.009393156535629011,0.0,0.9972915529369695,-0.0010739094161529295
2016-01-28,0.02970586566748974,0.02970586566748974,0.0,1.0269169618398373,0.0
2016-01-29,0.034346959957973364,0.034346959957973364,0.0,1.0621884376083137,0.0
2016-02-01,-0.00872701837183812,-0.00872701837183812,0.0,1.052918699598952,-0.008727018371838202
2016-02-02,-0.030213867874308412,-0.030213867874308412,0.0,1.0211059531268805,-0.03867720926612328
2016-02-03,-0.017681230538716727,-0.017681230538716727,0.0,1.003051543365188,-0.055674579151211434
2016-02-04,-0.017568953750776762,-0.017568953750776762,0.0,0.9854289771901599,-0.07226538879578659
2016-02-05,0.0019022058513385794,0.0019022058513385794,0.0,0.9873034659566495,-0.07050064658986466
2016-02-08,-0.015671997666372405,-0.015671997666372405,0.0,0.9718304483421756,-0.08506775828740287
2016-02-09,-0.016239096722489448,-0.016239096722489448,0.0,0.9560487996936867,-0.0999254314550978
2016-02-10,-0.01858497960479601,-0.01858497960479601,0.0,0.9382806522501899,-0.11665329895430043
2016-02-12,0.02045711114284817,0.02045711114284817,0.0,0.9574751638364561,-0.09858257731334019
2016-02-15,-0.002851104913217884,-0.002851104913217884,0.0,0.9547453016925579,-0.10115261295602229
2016-02-16,-0.003650134242935252,-0.003650134242935252,0.0,0.9512603531735684,-0.10443352658264438
2016-02-17,0.017324495894653673,0.017324495894653673,0.0,0.9677404592568707,-0.08891828889053588
2016-02-18,-0.015376729375179667,-0.015376729375179667,0.0,0.9528597761094657,-0.10292774580094177
2016-02-19,0.011237442757366059,0.011237442757366059,0.0,0.9635674832992924,-0.09284694769515855
