variant,variant_key,horizon,year,port_return,tpx_return,rel_alpha,days
z_downvol (Variant E),zdownvol,1,2018,-0.15840456417959725,-0.17272672577017956,0.014322161590582305,245.0
z_downvol (Variant E),zdownvol,1,2022,0.042800146086392266,-0.04774517133489098,0.09054531742128324,244.0
z_downvol (Variant E),zdownvol,5,2018,-0.13327360756019235,-0.17272672577017956,0.039453118209987204,245.0
z_downvol (Variant E),zdownvol,5,2022,0.06964984054596624,-0.04774517133489098,0.11739501188085721,244.0
z_downvol (Variant E),zdownvol,10,2018,-0.08181054157146905,-0.17272672577017956,0.0909161841987105,245.0
z_downvol (Variant E),zdownvol,10,2022,0.0902842695507664,-0.04774517133489098,0.13802944088565738,244.0
z_downvol (Variant E),zdownvol,60,2018,-0.1601225539947101,-0.17272672577017956,0.012604171775469464,245.0
z_downvol (Variant E),zdownvol,60,2022,-0.01434616033464109,-0.04774517133489098,0.03339901100024989,244.0
z_downvol (Variant E),zdownvol,90,2018,-0.16317049260707683,-0.17272672577017956,0.009556233163102723,245.0
z_downvol (Variant E),zdownvol,90,2022,-0.017111130379891093,-0.04774517133489098,0.030634040954999886,244.0
z_downvol (Variant E),zdownvol,120,2018,-0.16908773187893933,-0.17272672577017956,0.0036389938912402275,245.0
z_downvol (Variant E),zdownvol,120,2022,-0.005887480814843249,-0.04774517133489098,0.04185769052004773,244.0
z_downbeta (Variant F),zdownbeta,1,2018,-0.16071550914220578,-0.17272672577017956,0.012011216627973775,245.0
z_downbeta (Variant F),zdownbeta,1,2022,0.08073851202369853,-0.04774517133489098,0.1284836833585895,244.0
z_downbeta (Variant F),zdownbeta,5,2018,-0.1520876769317503,-0.17272672577017956,0.020639048838429264,245.0
z_downbeta (Variant F),zdownbeta,5,2022,0.16268788440991355,-0.04774517133489098,0.21043305574480453,244.0
z_downbeta (Variant F),zdownbeta,10,2018,-0.11248668671222994,-0.17272672577017956,0.06024003905794961,245.0
z_downbeta (Variant F),zdownbeta,10,2022,0.12993807848112482,-0.04774517133489098,0.1776832498160158,244.0
z_downbeta (Variant F),zdownbeta,60,2018,-0.15466908613305774,-0.17272672577017956,0.018057639637121814,245.0
z_downbeta (Variant F),zdownbeta,60,2022,0.009439658545254526,-0.04774517133489098,0.057184829880145505,244.0
z_downbeta (Variant F),zdownbeta,90,2018,-0.15209011713480813,-0.17272672577017956,0.020636608635371423,245.0
z_downbeta (Variant F),zdownbeta,90,2022,0.012341668628274904,-0.04774517133489098,0.06008683996316588,244.0
z_downbeta (Variant F),zdownbeta,120,2018,-0.1528681265703664,-0.17272672577017956,0.019858599199813143,245.0
z_downbeta (Variant F),zdownbeta,120,2022,0.013538812005094547,-0.04774517133489098,0.061283983339985526,244.0
z_downcombo (Variant G),zdowncombo,1,2018,-0.13760152756320865,-0.17272672577017956,0.03512519820697091,245.0
z_downcombo (Variant G),zdowncombo,1,2022,0.07703814363818684,-0.04774517133489098,0.12478331497307782,244.0
z_downcombo (Variant G),zdowncombo,5,2018,-0.12373228389897883,-0.17272672577017956,0.04899444187120072,245.0
z_downcombo (Variant G),zdowncombo,5,2022,0.08523650325633247,-0.04774517133489098,0.13298167459122345,244.0
z_downcombo (Variant G),zdowncombo,10,2018,-0.07975383826145854,-0.17272672577017956,0.09297288750872101,245.0
z_downcombo (Variant G),zdowncombo,10,2022,0.0894198803601911,-0.04774517133489098,0.13716505169508209,244.0
z_downcombo (Variant G),zdowncombo,60,2018,-0.14929404206677,-0.17272672577017956,0.023432683703409563,245.0
z_downcombo (Variant G),zdowncombo,60,2022,0.004077763094863407,-0.04774517133489098,0.051822934429754386,244.0
z_downcombo (Variant G),zdowncombo,90,2018,-0.15067391912693917,-0.17272672577017956,0.022052806643240386,245.0
z_downcombo (Variant G),zdowncombo,90,2022,0.004731047676517441,-0.04774517133489098,0.05247621901140842,244.0
z_downcombo (Variant G),zdowncombo,120,2018,-0.15469327330644,-0.17272672577017956,0.018033452463739552,245.0
z_downcombo (Variant G),zdowncombo,120,2022,0.011799137211980337,-0.04774517133489098,0.059544308546871316,244.0
